objectid,title,filename,format,creator,date,description,image_alt_text,subject,location,source,citation,type,language,rights,creativecommons
ofc_014_fendlerswaterleaf_2010,Fendler's Waterleaf,ofc_014_fendlerswaterleaf_2010.jpg,image/jpg,Gerald D. Carr,2010,A plant with five points on leaves with immature blooms. The stem grows small hairs downward and the petals grow bellshaped.,A photo of a green plant with five leaves with immature blooms on it.,Plant; Edible Plants; Native Plants; Botanical Illustration; photograph (visual works),Oregon,"<a href=""https://oregonflora.org/taxa/index.php?taxon=5684"" target=""_blank"">Hydrophyllum fendleri (A. Gray) A. Heller - OregonFlora</a>","Carr, Gerald D. ""Hydrophyllum Fendleri."" OregonFlora, 22 Jul. 2010, <a href='https://oregonflora.org/taxa/index.php?taxon=5684' target='_blank'>https://oregonflora.org/taxa/index.php?taxon=5684</a> . Accessed 14 Feb. 2024.",Image;StillImage,eng,"<a href=""http://rightsstatements.org/vocab/InC-EDU/1.0/"" target=""_blank"">IN COPYRIGHT - EDUCATIONAL USE PERMITTED</a>","<a href=""https://creativecommons.org/licenses/by-sa/4.0/""_blank"">CC BY-SA 4.0 DEED
Attribution-ShareAlike 4.0 International</a>"
ofc_009_pioneerviolet_2006,Pioneer Violet,ofc_009_pioneerviolet_2006.jpg,image/jpg,Gerald D. Carr,2006,"Wild cousins of the pansy, yellow wood violets add a charming element to shady understory groundcover in the spring. As its name suggests, it does well in rich, moist woodland soils with full to partial shade. Unlike other native violets that grow in low basal rosettes, yellow wood violets' erect stems grow to 1 ft tall with flowers blooming at shoot tips.  The distinctive asymmetrical flowers are bright yellow with maroon veins and look lovely against heart-shaped leaves.",A photo of a green plant with rounded leaves and bright yellow flowers.,Plant; Edible Plants; Native Plants; Botanical Illustration; photograph (visual works),Oregon,"<a href=""https://oregonflora.org/taxa/index.php?taxon=9126"" target=""_blank"">Viola glabella Nutt. - OregonFlora</a>","Carr, Gerald D. ""Viola Glabella."" OregonFlora, 18 Apr. 2006, <a href='http://oregonflora.org/taxa/index.php?taxon=9126' target='_blank'>http://oregonflora.org/taxa/index.php?taxon=9126</a> . Accessed 14 Feb. 2024.",Image;StillImage,eng,"<a href=""http://rightsstatements.org/vocab/InC-EDU/1.0/"" target=""_blank"">IN COPYRIGHT - EDUCATIONAL USE PERMITTED</a>","<a href=""https://creativecommons.org/licenses/by-sa/4.0/""_blank"">CC BY-SA 4.0 DEED
Attribution-ShareAlike 4.0 International</a>"
ofc_025_queenanneslace_1946,Queen Anne's Lace,ofc_025_queenanneslace_1946.jpg,image/jpg,Warren E. Favor,1946-1960,"A part of the carrot & parsley family (Daucus carota). Imported from Europe by the colonists. This flower has spread rapidly because even the shortest tongued insect can enjoy the nectar it secretes, thus fertilizing it. Then the flower folds inwards (like a newt). The cultivated carrot was never derived from this plant; although fiction tries to give credit to the Dutch for accomplishing it. When the cultivated carrot reverts to its ancestral type it is quite different.",A photo of a plant from on top with numerous white tiny flowers in clusters.,Plant; Edible Plants; Native Plants; Medicinal Plants; Botanical Illustration; photograph (visual works),Oregon,"<a href=""https://dp.la/item/084006b9c03b890086d9ee86c6f73821?q=Queen+Anne%27s+Lace"" target=""_blank"">Queen Anne's lace - Digital Public Library of America</a>","Favor, Waren. ""Queen Anne's lace."" Digital Public Library of America, 1946-1960, <a href='dp.la/item/084006b9c03b890086d9ee86c6f73821?q=Queen+Anne%27s+Lace' target='_blank'>http://dp.la/item/084006b9c03b890086d9ee86c6f73821?q=Queen+Anne%27s+Lace</a> . Accessed 14 Feb. 2024.",Image;StillImage,eng,"<a href=""http://rightsstatements.org/vocab/CNE/1.0/"" target=""_blank"">COPYRIGHT NOT EVALUATED</a>","<a href=""https://creativecommons.org/licenses/by-sa/4.0/""_blank"">CC BY-SA 4.0 DEED
Attribution-ShareAlike 4.0 International</a>"
ofc_012_bittercherry_0000,Bitter Cherry,ofc_012_bittercherry_0000.jpg,image/jpg,Bruce N. Newhouse,unknown,Bitter cherry is an attractive small tree or shrub with shiny reddish to silvery gray bark and leaves that turn yellow in the fall. Pretty white flowers bloom in clusters and mature into a profusion of bright red cherry-like fruits that are devoured by birds. It does well in full to partial sun and is well-suited to the woodland garden or hedgerow where it can form lovely flowering thickets if suckers are left unchecked.,A photo of a fruit tree that grows many tiny flowers that sprout into cherries.,Plant; Poisonious Plants; Medicinal Plant; Botanical Illustration; Photograph (Visual Works),Oregon,"<a href=""https://oregonflora.org/taxa/index.php?taxon=7679"" target=""_blank"">Prunus emarginata (Douglas ex Hook.) Walp. - OregonFlora</a>","Newhouse, Bruce N. ""Prunus Emarginata."" OregonFlora, <a href='oregonflora.org/taxa/index.php?taxon=7679' target='_blank'>https://oregonflora.org/taxa/index.php?taxon=7679</a> . Accessed 14 Feb. 2024.",Image;StillImage,eng,"<a href=""http://rightsstatements.org/vocab/InC-EDU/1.0/"" target=""_blank"">IN COPYRIGHT - EDUCATIONAL USE PERMITTED</a>","<a href=""https://creativecommons.org/licenses/by-nc-nd/4.0/""_blank"">CC BY-NC-ND 4.0 DEED
Attribution-NonCommercial-NoDerivs 4.0 International</a>"
ofc_004_nootkarose_2008,Nootka Rose,ofc_004_nootkarose_2008.jpg,image/jpg,Gerald D. Carr,2008,A plant with oval shaped leaves and pink flowers. This plant grows a pair of thorns at the base of each leaf.,"A photo of a plant with a green stem, oval shaped leaves, and pink flowers.",Plant; Edible Plants; Native Plants; Botanical Illustration; photograph (visual works),Oregon,"<a href=""https://oregonflora.org/taxa/index.php?taxon=14438"" target=""_blank"">Rosa nutkana var. nutkana - OregonFlora</a>","Carr, Gerald D. ""Rosa nutkana var. nutkana."" OregonFlora, 31 May 2008, <a href='http://oregonflora.org/taxa/index.php?taxon=14438' target='_blank'>http://oregonflora.org/taxa/index.php?taxon=14438</a> . Accessed 14 Feb. 2024.",Image;StillImage,eng,"<a href=""http://rightsstatements.org/vocab/InC-EDU/1.0/"" target=""_blank"">IN COPYRIGHT - EDUCATIONAL USE PERMITTED</a>","<a href=""https://creativecommons.org/licenses/by-sa/4.0/""_blank"">CC BY-SA 4.0 DEED
Attribution-ShareAlike 4.0 International</a>"
,,, ,,,,,,,,,,,,
